,Name,main_category,sub_category,Image,link,ratings,no_of_ratings,discount_price,actual_price
1,"Noise Newly Launched Bravo Bluetooth Neckband in Ear with Upto 35 Hours of Playtime, Instacharge (10-min Charge=10-hrs Pla...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51hbHHeZ1ML._AC_UL800_.jpg,https://www.amazon.in/Noise-Launched-Bluetooth-Neckband-Instacharge/dp/B0BLNPV7M8/ref=sr_1_5004?qid=1679133964&s=electronics&sr=1-5004,3.6,226,₹899,"₹2,799"
2,Ytm 10 Pcs (5 Pair) for Samsung Level u Earbuds | Earbuds for Samsung Level U &U2 | Replacement Black Original Earbuds | P...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61vvXS0Q7AL._AC_UL800_.jpg,https://www.amazon.in/YTM-Level-Earbuds-Headphones-Cushion/dp/B07Q4T9L1Y/ref=sr_1_5005?qid=1679133964&s=electronics&sr=1-5005,4,917,₹198,₹499
3,"Zebronics ZEB-BT701RUCF Wireless Bluetooth Multimedia Speaker With Supporting AC3 Audio, SD Card, USB, AUX, FM & Remote Co...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/6186099PfXL._AC_UL800_.jpg,https://www.amazon.in/Zebronics-Zeb-BT701-Multimedia-Bluetooth-Supporting/dp/B089W9P7FY/ref=sr_1_5006?qid=1679133964&s=electronics&sr=1-5006,3.5,488,"₹2,999","₹6,999"
4,"TANTRA BLUEME Car Bluetooth Device with Mic 5.0 - Aux to Bluetooth Converter, Bluetooth Receiver for Home Theatre, Bluetoo...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61mse8ww7AL._AC_UL800_.jpg,https://www.amazon.in/TANTRA-BLUEME-Car-Bluetooth-Device/dp/B09Y1JJ4HK/ref=sr_1_5007?qid=1679133964&s=electronics&sr=1-5007,3.9,566,₹449,₹999
5,"proffisy 12A Toner Cartridge for HP 12A Q2612A High Yield Compatible for HP Laserjet M1005 MFP,1020,1010/1012/1018/1022/10...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/813dCFoQmbL._AC_UL800_.jpg,https://www.amazon.in/proffisy-12A-Cartridge-Compatible-Laserjet/dp/B07DNXWG1Z/ref=sr_1_5010?qid=1679133964&s=electronics&sr=1-5010,4.2,"2,076",₹759,"₹2,099"
6,"Sounce HDMI Cable 4K High-Speed HDMI Cord 18Gbps with Ethernet Support 4K 60Hz Compatible with UHD TV, Monitor, Computer, ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61KUaE1R97L._AC_UL800_.jpg,https://www.amazon.in/Sounce-High-Speed-Ethernet-Compatible-Computer/dp/B0BQ6MCQKD/ref=sr_1_5011?qid=1679133964&s=electronics&sr=1-5011,4.6,49,₹149,₹249
7,ORICO 2.5 inch USB C Hard Drive Enclosure USB 3.1 Gen 2 to SATA III External Hard Drive Case for SSD HDD 9.5 7mm Tool-Free...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61sfwc2UyOL._AC_UL800_.jpg,https://www.amazon.in/ORICO-Enclosure-External-Tool-Free-25PW1-C3/dp/B0B938GDKL/ref=sr_1_5012?qid=1679133964&s=electronics&sr=1-5012,3.6,136,₹649,₹850
8,"Aroma® NB119 Carter Pro Bluetooth Wireless In Ear Neckband with Long Lasting Playtime 48 Hrs, Smart Voice Assistant, Dual ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51qgT9ZuH1L._AC_UL800_.jpg,https://www.amazon.in/NB119-Carter-Bluetooth-Assistant-Transmission/dp/B0BQ3LLTVJ/ref=sr_1_5013?qid=1679133964&s=electronics&sr=1-5013,3.1,50,₹391,"₹2,299"
9,"ASUS MD100 Marshmallow/Silent, Adj. DPI, Multi-Mode, with Solar Cover Wireless Optical Mouse (2.4GHz Wireless, Bluetooth, ...","tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/61hXCL4uC7L._AC_UL800_.jpg,https://www.amazon.in/ASUS-MD100-Marshmallow-Quiet-Blue/dp/B0BRSTHNPV/ref=sr_1_5014?qid=1679133964&s=electronics&sr=1-5014,,,"₹1,499","₹2,999"
10,Crysendo Headphone Cushion Pad Compatible with Mi Super Bass Wireless Headphones | 75mm X 60mm Replacement Headset Ear Cus...,"tv, audio & cameras",All Electronics,https://m.media-amazon.com/images/I/51ODZvKNuSL._AC_UL800_.jpg,https://www.amazon.in/Crysendo-Headphone-Compatible-Headphones-Replacement/dp/B0B1MX1M7R/ref=sr_1_5015?qid=1679133964&s=electronics&sr=1-5015,3.9,231,₹499,₹849
