Name,Price,Original Prices,Discount rates,Brand,Image
Solid Men Black Track Pants,989,"1,599",38% off,Wildcraft,https://rukminim1.flixcart.com/image/329/395/jyyqc280/track-pant/p/g/s/m-41864black-wildcraft-original-imafj3h4zh8rgjzt.jpeg?q=50
Men Printed Casual Shirt,"1,614","1,899",15% off,Louis Philippe Jeans,https://rukminim1.flixcart.com/image/329/395/k2z1t3k0/shirt/n/b/e/40-lrsfcslf143317-louis-philippe-jeans-original-imafm7gjzjaahtxc.jpeg?q=50
Men & Women Solid Ankle Length,177,439,59% off,ADIDAS,https://rukminim1.flixcart.com/image/329/395/k6i7zww0/sock/y/w/f/free-ad-sole-1-pkt-adidas-original-imafz7yxcfkyvrcg.jpeg?q=50
Men & Women Solid Ankle Length,199,449,55% off,Jockey,https://rukminim1.flixcart.com/image/329/395/k2z1t3k0/sock/x/n/s/free-f-asst-1-jockey-original-imafm7ajuavkdsbq.jpeg?q=50
Men & Women Color Block Ankle Length,223,599,62% off,APPALON,https://rukminim1.flixcart.com/image/329/395/ju2z6a80/sock/b/q/r/free-37-appalon-original-imaff9cf7hztztef.jpeg?q=50
Men & Women Solid Ankle Length,248,699,64% off,PRAHARD,https://rukminim1.flixcart.com/image/329/395/k6i7zww0/sock/z/d/f/free-ankle-length-prahard-original-imafmz2c8mz92vpp.jpeg?q=50
Men & Women Ankle Length,196,490,60% off,ADIDAS,https://rukminim1.flixcart.com/image/329/395/jfzpuvk0/sock/z/k/t/free-adigrs-99-adidas-original-imaf4cfnp4sqtagu.jpeg?q=50
Men Solid Ankle Length,312,999,68% off,Puma,https://rukminim1.flixcart.com/image/329/395/jdvziq80/sock/t/t/2/free-puma-sher3-puma-original-imaf2zvfav3yaf8t.jpeg?q=50
"Color Block Men Round Neck White, Black T-Shirt",399,"1,999",80% off,FastColors,https://rukminim1.flixcart.com/image/329/395/kasjjww0/t-shirt/z/h/6/m-fc4173-fastcolors-original-imafsaynwrhgzdxs.jpeg?q=50
"Color Block Men Round Neck White, Maroon T-Shirt",399,"1,999",80% off,FastColors,https://rukminim1.flixcart.com/image/329/395/kasjjww0/t-shirt/y/g/9/s-fc4174-fastcolors-original-imafsaynpnx4cafz.jpeg?q=50
"Solid Men Round Neck White, Blue, Yellow T-Shirt",689,"2,999",77% off,FastColors,https://rukminim1.flixcart.com/image/329/395/k51cpe80/t-shirt/b/w/d/xxl-4054-4128-fastcolors-original-imafnessup8rvnvm.jpeg?q=50
Men Solid Ankle Length,279,499,44% off,Navy Sport,https://rukminim1.flixcart.com/image/329/395/jnqcpzk0/sock/7/h/3/free-ns2-navy-sport-original-imafacsqyjbwc29x.jpeg?q=50
"Color Block Men Round Neck Dark Blue, White, Yellow T-S...",399,"1,999",80% off,FastColors,https://rukminim1.flixcart.com/image/329/395/kasjjww0/t-shirt/p/m/c/m-fc4175-fastcolors-original-imafsaynmfhp5gnj.jpeg?q=50
Men & Women Geometric Print Mid-Calf/Crew,219,499,56% off,HICODE,https://rukminim1.flixcart.com/image/329/395/k4yhtow0/sock/h/7/k/free-fulldiamond-0431-4-pair-multi-hicode-original-imafnqfyguj2h82v.jpeg?q=50
"Men & Women Solid Low Cut, Peds/Footie/No-Show, Ankle L...",169,399,57% off,Sky World,https://rukminim1.flixcart.com/image/329/395/k612pow0/sock/m/q/s/free-loafer-socks-sw07-sky-world-original-imafzkzzhqevqasy.jpeg?q=50
